"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Michael Way","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",99,69500,68178,68950,66950,68500,65000,64999,69600,65000,65000,65000,64200,65000,60000,59900,59900,60000,59900,59620,59900,59900,59900,59000,58000,54999,58700,57388.5,58500,60000,62500,65000,62350,60000,64000,64900,68000,65000,65000,68000,70000,75000,75000,79500,85000,85000,84700,85000,89000,86700,82000,84900,84900,85000,86450,89000,88000,88000,88000,88500,88580,95000,105000,99998,99000,104000,1e+05,99990,97500,99900,105000,110000,105000,1e+05,1e+05,1e+05,104900,104000,114950,115000,117250,119949,123900,120000,120000,129990,129990,130000,129900,129500,130000,146500,149995,145000,134950,139950,144000,159850,157900,149495,148500,140950,159999,160000,149900,155000,150000
"Greater Uptown","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105000,108000,104500,106000,105500,105500,108000,105000,105000,108000,109975,109950,110000,119000,119900,119000,119450,124200,125000,124950,125000,120000,120000,124650,120500,119950,119000,124750,130000,130000,130000,129997,128497.5,130000,131500,139900,138500,135900,139000,135500,135000
"Lower Valley","El Paso","TX","El Paso","El Paso County",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78450,79500,79500,79995,82700,83750,81200,79700,84000,81950,84000,82000,82000,84500,84500,79944.5,79944.5,79950,79650,85000,88250,89000,89000,88500,82500,79500,83500,79900,85000
"Oxford Circle","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",102,129900,129900,129900,128750,124997.5,129900,129900,129500,129500,124900,125000,124900,124900,119995,124900,119900,119220,119900,119900,115450,115900,117500,114200,114900,114900,109900,109937.5,112000,111950,114900,115000,114900,114900,114950,113000,112000,113000,112000,109900,109945.5,110000,114900,110000,110000,110000,116000,115000,114900,114900,115000,115000,114900,106900,106900,112700,110000,110000,109900,109700,109900,109500,107450,112000,114900,114900,115000,119000,119000,119000,115000,115000,110950,109900,109900,109900,114900,119900,118000,119000,116500,119000,122450,125000,119000,125000,122450,125000,128000,129000,129000,128200,125000,128000,129000,129949.5,129999,130000,129900,138000,139900,140000,139900,139900,140000,142450,144900
"Oak Lawn","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131900,141900,140900,141900,139250,132990,129450,128900,139900,150000,150000,155800,152000,154900,149000,148000,154950,155000
"University City","San Diego","CA","San Diego-Carlsbad","San Diego County",104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330000,329900,344000,329900,339000,345000,365000,380000,369900,355000,388700,355000,375000,382500,395000,395000,395000,425000,420000,399900,375000
"Desert View","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,170000,173000,173500,165900,169900,177950,171000,150000,170000,182400,182400,175000,171000,175000,179900,179500,180000,175500,187200,182500,170000
"Southwest","Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant County",106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,136800,125000,130000,130000,130000,129000,122500,130000,130000,130000,135000,130177.5,135000,135000,130000
"Winnetka","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349999,319950,333500,358250,359900,359900,359900,359900,366400,374900,374900,379000,379749.5,383650,379000,349950,359500,369000,374000,379000,359950,369475,399000,379900,379900,429900,387475,399000,399000,433500,430000,432000,412000,415000,380000,379500,380000,393900,410000,432500,440000,449000,449500
"Woodlake - Briarmeadow","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",108,74003,75000,75000,75000,73000,70500,69900,72900,70000,69900,69949.5,69000,68000,64900,65999.5,68000,68000,68000,68000,67894,67500,65000,65000,67000,67000,65000,65000,69200,67900,68000,68500,68495,64900,60000,64999,65500,64250,64900,67000,69900,75000,76450,70000,69700,69450,70000,71370,66900,69999,70870,75000,74450,73500,79000,79000,76500,72700,78750,75000,79500,79500,75000,79000,81950,81950,82800,89200,94400,89949.5,91000,96750,95950,95900,95000,95000,95900,102250,95000,99000,98900,98800,92500,97400,97250,94000,92750,97000,99450,102650,105000,99950,99900,108000,103999.5,109900,113747.5,114995,110500,106000,110000,110000,109000,106500,105000,109500,105000
"Downtown","Memphis","TN","Memphis","Shelby County",109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000,19900,18475,19999.5,20500,23500,23900,21900,19000,18000,18750,19800,17750,15000,14950,13900,14900,12900,13450,15000,15000,15000,15000,15000,15000,17000
"Lake Balboa","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397000,395000,329450,329000,370000,370000,378000,424000,433000,420000,399000,399500,439000,429500,439000,449000,439999,439900,439999,450000,449950,449950,439999,449950,468000,471475,474950,475000,486500,485000,449900,449900
"Encino","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287475,265000,259900,295000,269450,282450,294500,279900,297000,309425,295000,294499.5,309000,3e+05,305000,3e+05,307000,318225,325000,309000,309000,324950,319950,319950,299925,299950,309000,322000,329945,349000,362475,336000,335000,329000,340000,369000,389000,384499.5,354950,350000,350000,360000,349900,340000,350000,385000,359000,350000,362000,367000,365000,377499.5,375000,347450,335000,352400,339000,340000,335000,342475
"Greenville","Jersey City","NJ","New York-Newark-Jersey City","Hudson County",112,199000,199000,199000,199000,199000,199000,199000,199000,199000,196000,180000,180000,179700,180000,182500,179900,179000,179500,179000,175000,177000,179000,174500,169000,169000,167000,165000,160000,160000,160000,159450,160000,160000,160000,165000,161749.5,169000,175000,179000,179000,171000,172475,170000,169000,177750,179950,179450,179450,179000,184950,190000,189000,179499.5,175000,187500,190000,199000,196500,195000,185000,188450,177900,179000,179000,189000,199000,2e+05,204637.5,219999.5,199950,199995,199000,2e+05,212500,219000,219000,219500,239000,229900,225000,219000,219000,227000,223500,219938.5,225700,219977,222500,205070,222488.5,231080,219900,247000,245000,248928.5,249388.5,249450,249469,249000,249900,250000,263950,249000,249900,254869.5,250000
"Gresham","Chicago","IL","Chicago-Naperville-Elgin","Cook County",113,51850,59900,65450,59900,59900,53995,54900,59950,61000,59700,59900,55000,54400,49900,49700,47950,50000,49900,47000,47750,46000,53900,57500,55000,49765,53000,49765,49626,44450,48000,46900,49000,49900,49900,49900,50000,54900,54950,58450,59900,59000,58331.5,56177,54900,56000,54900,54000,50000,52650,50000,49900,54000,52500,50000,54500,53100,54900,59450,59900,59900,60000,62000,60000,56200,57800,59000,64000,69000,69000,69949.5,72700,75000,74950,72500,67900,69950,75000,75000,70000,69900,69900,66750,69500,69900,75650,75900,84800,79950,82950,86000,86000,85000,80000,80000,84950,85000,80000,80000,76949.5,80000,79900,75000,79900,82500,85000,85000
"Brighton Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102750,1e+05,1e+05,1e+05,95000,105000,99000,102500,105000,105000,99900,109950,109900,109950,109950,112450,120000,129000,129388.5,129000,129000,130826,129777,129000,123782.5,122500,126500,129000,125000,129000,125000,127000,129000
"North Highlands","Sacramento","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139999.5,138250,147250,154000,153000,155000,155000,157500,160000,161000,164900,162500,159900,159900,139450,159900,155450,152950,154900,170000,170000,174700,179000,179000,176000,179900,175500,179900,179900,184950,195000,195000,195700,195000,199000,205000,210000,207000,207000,208493.5,205000,210000,217500,229000,229900,230000,239000,235000,239999,239947.5,239450,239388.5,239950,244250,249000,249900,249999,245000,249694,249950,250000
"Newbury Park","Thousand Oaks","CA","Oxnard-Thousand Oaks-Ventura","Ventura County",116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224725,227500,227250,219000,219000,222250,189500,199000,189999.5,219700,192489.5,216000,249500,250000,259500,244900,249500
"Allapattah","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000,129500,144000,130000,129000,119450,119900,121900,121900,127450,120950,125900,118500,119000,119900,120000,120000,130000,130000,139900,142400,155000,159925.5,157450
"Englewood","Chicago","IL","Chicago-Naperville-Elgin","Cook County",118,,,,,,,,,,,,,,,,,,,,,,,,,,,,22900,20000,23000,22900,21600,19900,19900,23000,22999,24450,24900,24000,22000,24000,22000,22450,19900,20000,20000,22500,22750,23750,24900,25000,22812.5,24900,23125,24700,25000,26749.5,26900,27950,29650,29900,29900,27500,27000,29200,29850,30000,30000,33000,34900,34900,37000,38000,34900,30000,30000,30500,31000,30000,29900,30000,33000,30000,29900,29900,29900,30000,30000,30000,30000,32000,33100,32000,30000,30000,30000,30000,30000,29850,30000,31563,30000,32950,35000,35200,35000
"Briarforest Area","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90450,91950,92000,99500,100250,105900,100250,99000,102750,99000,99250,99000,99000,99999,102450,100950,104500,101995,99700,99500,96500,96450,99400,99900,109999.5,116000,105000,99000,1e+05,105000,112000,112000
"Rancho Bernardo","San Diego","CA","San Diego-Carlsbad","San Diego County",120,220000,226950,235000,230000,230000,229900,227000,230000,234900,230000,235000,233000,222950,219000,219000,224900,224900,225000,219000,216150,215500,215000,211000,214900,210000,210000,209900,209950,215000,210000,205000,206688,205844,219000,2e+05,215000,218950,229000,235000,249900,250000,259000,247000,261900,287450,280000,275000,280000,286500,279900,289450,299000,285000,285876,294900,299900,309000,298000,299000,299749.5,299700,312000,314500,310500,315000,307900,319900,319900,319900,319900,318999,318999,297000,329000,330000,329950,324900,330000,339500,335000,345000,342500,349500,350000,361000,375000,367000,369000,363000,369500,375000,369950,379500,385000,385000,370000,365000,375000,397000,391700,395000,389250,395000,405000,410000,398500
"Kew Gardens Hills","New York","NY","New York-Newark-Jersey City","Queens County",121,209876,199000,183500,188000,189000,199000,2e+05,209000,209000,206500,203000,208000,208000,205000,199999,2e+05,199499.5,204990,198444,195000,189900,184999,184999.5,185000,187999,188500,185000,180000,179100,179000,179000,180000,185000,179000,186500,178500,178000,175000,174990,185000,185000,181950,178000,178000,175000,175000,180000,179450,179000,179990,179995,190000,198000,189000,190000,175000,179000,169950,184995,179000,178500,187000,187000,188000,184950,184890,194000,208000,196000,190000,196000,189500,189000,182500,199000,208000,215000,215000,214880,215000,216940,218944,219888,225000,219000,220000,219000,225000,235000,237000,239000,249940,252444,256500,264880,264880,264880,264880,255000,255000,255000,259888,256500,256500,256500,255000
"Olney","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",122,99900,99900,99950,1e+05,104999,104900,99750,98500,94995,94995,98250,89990,89900,89900,89999,90000,90000,90000,90000,89900,89900,89400,89000,89000,89850,85000,87900,87450,85000,81770.5,80000,79900,79850,76999,77900,79900,77500,79000,79900,79900,77500,77950,79350,77750,79900,78000,79000,79000,77900,79000,79900,83247.5,84900,79950,79900,79900,84900,84950,79900,80000,79950,80000,80400,80000,79900,79900,78449.5,79000,79000,75900,79000,85000,79900,79950,79900,81000,81000,82700,79900,79950,85000,85000,80000,80000,86500,88000,89900,89000,89900,89900,89900,85000,85000,84945,84990,84900,85500,88000,85000,87450,85000,94599,90000,95000,1e+05,1e+05
"Valley High-North Laguna","Sacramento","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169950,164000,170000,179450,179950,179000,179000,179900,182150,179900,179900,185000,189000,192000,185000,159950,182250,179950,199900,192950,205000,207000,211688.5,208750,209900,209500,219000,219500,219000,230000,235000,234900,230000,229944,244400,249000,249000,249900,249900,250000,249000,249000,259000,265000,263000,265250,265500,269000,269000,269950,275000,269000,269900,269950,275000,279250,285000,294450,295000,289900,289900,288950
"Rego Park","New York","NY","New York-Newark-Jersey City","Queens County",124,199944,199000,202700,199949.5,199900,2e+05,205000,209000,206500,199000,199000,197000,195000,189000,195000,189000,189000,189000,189000,189000,189999.5,189000,190000,195000,190000,195000,199000,195000,195000,189000,188000,188000,189000,189000,189000,189500,190000,196500,195000,195000,195500,199000,199000,199000,209500,199388.5,206500,208000,208000,205000,209000,209000,205000,205000,199000,199444,199000,2e+05,199500,208900,210000,212494,219000,219500,225000,218444,215000,215000,219000,229000,225000,217499.5,225000,229000,216500,215000,224800,225000,225000,238000,238500,239000,235000,239000,255000,235000,229000,249000,246000,242444,249350,259000,269000,259000,259000,259000,259000,264000,259000,264000,288000,282000,288500,292500,299000,299938
"North Cheyenne","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99994.5,1e+05,99450,103500,114900,113000,109900,99900,113950,110999.5,113000,114900,121997.5,120000,120255,120000,116000,120000,120000,127000,128250,127750,129000,130000,125000,127900,128900,131900,129900,123990,130750,135000,132500,129949.5,135000,138500,136000,139900,140000,139450,135000,132999,135000,154900,150000,160000,161250,158500,164500,169999,164500,159888,169950,177000,179500,179900,179900,192500,185900
"Parkchester","New York","NY","New York-Newark-Jersey City","Bronx County",126,130000,135000,139000,135000,135000,130000,130000,129000,130000,125000,129000,129900,129900,120000,120500,120000,119000,119000,119000,120000,119900,119000,120000,118375,119900,118000,115000,115000,112000,110000,110000,116000,120000,125000,125000,125000,125000,120000,117000,120000,117750,116000,115000,110000,109010.5,109510.5,114900,115000,115000,110000,110000,116900,110000,110000,120000,120000,125000,119000,115000,115000,115000,115000,119000,120400,119000,119000,124500,124500,121500,125000,125000,124000,122500,129000,125000,125000,127000,127500,134495,135000,135000,135000,135000,133990,135000,136500,139000,140000,149999,150000,150000,149000,157000,155000,152608.5,155000,157000,160000,159950,165000,166500,175000,170000,179000,180000,179500
"North","Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant County",127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71300,72450,79900,79900,79900,79900,79250,87000,89700,88600,89900,94850,93388.5,93777,94500,93750,96000,99947.5,99925,94999.5,95000,95000,90000,96200,98250,99500,105000,108000,105000,115000,115000,117000,117500
"Watts","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",128,129500,136300,139900,149900,150000,150000,150000,154950,150000,154000,154450,149900,152450,150000,145000,154900,145750,154900,149999,149949.5,144900,146950,148900,139950,144250,145000,145000,149500,155000,159700,165000,164900,165000,168000,168000,175000,182450,189900,190000,191350,199000,2e+05,2e+05,202500,2e+05,205000,219950,219000,225450,230000,229000,225000,239900,249000,249950,249000,259000,249950,249000,249000,249900,269000,260000,259000,259900,275000,275000,278998,279950,284900,279900,289000,293000,291000,293450,294900,299700,3e+05,309000,317000,310000,315000,319900,317000,332500,328000,325000,325000,324000,320000,325000,330000,330000,349900,350000,349450,350000,365000,375000,375000,369000,374900,375000,379500,378000,379500
"East Reno","Reno","NV","Reno","Washoe County",129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199500,197500,214500,229500,215000,194850,220000,195000,197250,199500,189000,180000,180000,191750,195000
"Edgewater","Chicago","IL","Chicago-Naperville-Elgin","Cook County",130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114900,114900,114900,114500,109000,109900,109900,104900,104900,108999,108999,110000,104450,108000,112900,119900,119700,119500,120000,124495,124490,125000,120000,118150,119950,119900,119900,119900,119900,121900,125000,125000,124900,124900,124450,124900,121955,125000,124000,125000,132000,130000,130750,134999.5,129950,134900,132450
"Newhall","Santa Clarita","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224900,223500,245000,243000,243000,229900,235000,235000,235000,237000,249000,249947.5,255000,267500,239450,240000,245000,245000,279000,278750,285000,279900,299000,295000,295000,315000,308000,275000,265000,279000,310000,314500,310000,310000,292375,310000,299500,327450,306199.5,314000,324500,316950,320000,325000,325000,325000,324999,309900,309900,329900,324950,329499.5,331450
"Parkway Village-Oakhaven","Memphis","TN","Memphis","Shelby County",132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40750,42500,43000,42500,39900,40000,41324,41050,40000,40205,42000,40000,43500,43500,45000,44900,43500,41700,41000,40500,39900,42500,40000,40500,40000,40000,42000,41900,44950,44250,44500,45000,47000,49000,48500,49450,49900,52000,52000,52250,50431.5,53500,56000,53000,53700,53021.5,53750,54000,55000,52941,55900,57090,57500,58500,59900,59949.5,60000,59950,65000,65900,64450
"Meridian Avenue Corridor","Oklahoma City","OK","Oklahoma City","Oklahoma County",132,63000,65000,65000,67500,66750,69947.5,69997.5,69947.5,69200,66450,62000,62500,58500,55000,59000,59900,59900,59900,59800,59900,59998.5,59900,59450,57000,50000,52599.5,55500,54900,59900,61250,60000,59900,54400,49975,53250,53600,59997.5,59000,59000,67400,59900,59450,60000,59000,60500,63200,54950,59450,62500,59400,59900,61500,60000,60000,59949.5,60000,61200,60000,59450,67900,69700,69900,74900,71900,59450,64990,66750,64995,55000,62000,62500,63000,55000,64500,62000,63000,69900,72200,74500,69500,78250,73400,67000,67000,69000,64000,64000,73800,75000,74945,74400,79900,74900,74900,76000,75000,73800,72000,79790,74400,79900,79900,79900,79500,77000,79900
"South End","Tacoma","WA","Seattle-Tacoma-Bellevue","Pierce County",134,159950,159000,159500,154950,151250,149999.5,149950,149000,149950,149250,145900,139990,139990,134450,129900,129950,127250,124975,123900,129950,119950,119000,114000,109900,109900,114000,114975,119000,114950,119000,126500,124500,125000,124450,125000,120000,119900,119900,121900,125000,129000,130000,135000,135000,137000,134950,134950,133925,132250,130000,139925,143700,140495,145000,146200,148500,145000,143000,142000,142800,142650,145000,147750,149900,156250,159974.5,159925,162000,167949.5,169500,174000,174850,174000,173900,179875,174850,178925,189000,199925,2e+05,199900,199900,196000,199475,199950,199950,2e+05,208045,209950,214450,219950,221000,219969,219950,219950,220000,224500,230000,235000,239900,249697.5,250000,250000,255000,258500,259000
"Bayside","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",135,159100,159900,159800,159500,158200,155000,149988.5,149900,154950,149950,149900,149900,145000,140000,137000,130000,130000,129900,129900,130000,126000,124900,124900,124900,124925,124900,124850,120000,122500,123250,121000,120000,114950,119000,110500,111750,114900,119900,122400,138250,130000,129950,133400,127700,131400,128900,130000,130000,131500,134900,134900,130000,130000,129500,130500,129700,130000,130000,125000,120000,129500,133000,133000,130950,133950,134900,138000,138000,139900,138745,143000,140000,140000,141250,140000,139900,139900,142450,138250,134850,137750,136500,135000,139499.5,145000,149000,145000,145750,148750,149900,146900,149450,147838.5,144250,139900,139900,146450,155750,149900,149900,153974,150000,149900,153737,149000,148950
"Lake View East","Chicago","IL","Chicago-Naperville-Elgin","Cook County",136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114947.5,122450,130950,131900,124700,119000,131949.5,131950,130000,127250,129500,129250,124900,139200,135000,135000,139900,144000,135000,140000,137500,133500,140000,149000,148500,148000,149900,149950,150000,150000
"Whitestone","New York","NY","New York-Newark-Jersey City","Queens County",137,216944,212450,219000,229000,228000,228000,231000,230000,225000,220000,218944,219000,219000,219000,219450,215000,219000,206000,214999,219000,215000,203999,199000,201499.5,207500,199000,207500,209900,210000,216500,209900,213900,215000,209444,206500,209000,209000,209000,209000,208000,209000,208000,215000,211944,218000,199000,199000,195500,199000,199000,189000,190000,197750,198000,199500,2e+05,199500,189000,189000,189000,195000,202500,218444,218888,219999.5,225000,218000,215000,215000,219000,219000,209000,197499.5,218000,226800,225000,226800,234888,225000,225000,229000,225000,225000,233500,240000,249000,265000,265000,269000,263500,265000,259000,239000,257000,259000,258000,248888,255000,279894,284900,302000,290000,284950,238000,248500,255000
"Far Eastside","Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",138,64900,67500,65000,65000,64000,60500,61000,61000,59900,60000,59900,59500,57900,57000,56000,54900,55000,56900,59250,58000,54900,54650,52900,50000,52000,49900,49900,49900,49900,53700,54900,49900,49900,49900,49900,50000,55500,55000,49900,49900,50000,53500,54400,54650,56900,55000,52900,54000,50565,54900,49900,54900,55000,55950,56450,54945,54375,51700,49900,50000,50000,50000,50000,54950,52900,52900,54500,50000,54500,54900,54900,55000,54900,55000,55000,58000,59900,59900,59950,60000,64900,64950,65000,64900,64900,64200,63700,62750,59900,64900,68400,64900,66450,69900,69900,65450,65950,64900,69900,69900,69900,74900,69900,69900,70000,70000
"West Oak Lane","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",139,118000,114400,114900,115000,119824.5,119000,115000,119450,120000,120000,123300,119000,116450,119900,119900,115000,115000,110000,109900,108500,110000,109950,109900,104950,99900,104900,109000,1e+05,104100,99900,99900,97500,97700,94900,99900,99900,92450,99900,104200,105000,110000,108700,108500,109900,103400,104900,103450,99450,105000,105000,107750,105000,105000,99999,99894,99999,99999,1e+05,99900,99700,99900,99750,99750,99950,99900,96995,89900,89900,89900,90000,90000,90000,89950,89900,90000,90000,99900,99999,1e+05,103900,109838.5,109000,109900,109450,109900,114000,115000,115000,115000,105000,109450,110000,119000,119900,119895,107000,114000,114900,109745,111970,119900,122500,119000,121750,129000,134900
"Tarzana","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,299900,299900,294000,285000,259000,257000,259700,259000,259000,279250,279900,279990,288800,297450,295000,289000,265000,272000,289000,310000,319000,319000,312450,319000,316950,319000,299000,299900,319900,305000,299000,307000,299475,320000,334999,332474.5,319000,347000,369000,369000,369900,366999.5,329900,352450,379950,364000,377500,380000,4e+05,410000,405000,420000,409950
"South Shore","Chicago","IL","Chicago-Naperville-Elgin","Cook County",141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58500,60000,69500,62900,60000,62900,68900,62000,65000,62000,60900,60900,64900,59900,69250,65000,61000,62000,68200,65000,70000,68000,71845.5,74999.5,77964.5,80000,76000,76000,79777,79388.5,75000
"North Park","San Diego","CA","San Diego-Carlsbad","San Diego County",142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310000,319900,324900,332500,330000,349900,349900,345000,342400,336900,349000,329900,332450,350000,350000,350000,350000,350000,359000,356400,350000,329900,345000,349450,344900,334900,349900,375000,321950,343750,369000,362900,319950,369999.5
"Greater Inwood","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95000,95000,94900,89000,93500,98750,100950,99900,93950,85900,89000,99947.5,101000,99990,94900,94500,98000,98000,99900,100800,114700,108000,105481.5,1e+05,99800,95000,93000,98500,98700,98500,104940,98750,104970,96250,90000,104900,104900,119900,125000,116950,99950,110000,105000,106750,117500,108800,114974
"Charleston Heights","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000,85000,79000,83000,85000,88000,88950,90000,90000,98000,98000,99900,105000,104000,99950,105000,110000,110000,108000,109900,108950,110000,111500,109900,105000,109900,109900,115000,120000,128981,129900,128981,129900,126750,139000,144950,146000,140000,140000,147000,152950,150000,160000,164900,160000,150000,159000,158500,153750,152450,135000,135000,138000,138000
"I-240 Corridor","Oklahoma City","OK","Oklahoma City","Oklahoma County",145,68000,69925,72500,74500,69850,69900,69900,74777,69950,69900,68900,69500,68950,62500,65500,65000,68112,68900,67806,68500,66500,69200,69100,67900,66900,66900,67900,67900,65000,67400,69900,69900,67750,67500,69900,70000,69900,67950,68500,69000,69000,66500,70000,70000,74250,72700,72700,67250,65000,68200,69900,68000,68000,68250,66500,65000,67750,65000,67000,67000,70950,71000,73200,74900,69350,73500,74550,73800,70000,70995,70000,69900,68000,69900,69900,71250,76000,78000,79900,78500,76000,74500,74500,69950,79000,80750,78900,80750,79900,79900,79900,85000,84950,82000,82500,82000,85000,76125,74900,76258.5,78672,79822.5,79000,79000,79900,79900
"Arleta","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439000,436079,425000,429900,435000,449190,448880,459000,444950,445000,450000,459000,480000,480000,480000,480000,479900,487000,495000,482450,482450
