"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"South Central Improvemen","Wichita","KS","Wichita","Sedgwick County",448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000,52500,49950,42750,48750,49500,47750,54000,54000,49900,54950,54900,54000,55000,55000,52950,53750,50000,50500,54000,56000,57950,55000,58000,55000,52450,52450,55000,55500,53900,49579.5,53950,54950,53950,53900,54400
"Richmond Heights-East Richmond","Richmond","CA","San Francisco-Oakland-Hayward","Contra Costa County",449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549000,549000,525000,499000,499000,585000,625000,589000,549000,569000,599000,592000,634000,649000
"Union Street","Schenectady","NY","Albany-Schenectady-Troy","Schenectady County",450,,129900,129900,129450,129000,127950,127950,125000,125000,122450,119900,118000,109900,109900,115000,119000,124450,124000,119900,119900,119000,118000,114900,112000,114500,118500,118500,118000,119900,118000,114900,116950,116925,119900,119900,110000,116450,114000,119400,115000,119000,119000,116500,115000,109900,110000,111000,108900,108950,106950,108700,108500,114900,116250,119000,118000,120000,114900,114450,109900,114000,111950,111950,115000,119000,118500,119950,117249.5,119900,119900,114900,114900,113700,112001,105000,114900,116050,119500,114900,109950,109900,109900,109900,109900,114900,119900,123950,127900,127900,124800,120000,119900,119250,118950,119900,119700,119700,119900,121575,119900,119555,118777.5,119666,119900,119900,119900
"Central-Terry","Billings","MT","Billings","Yellowstone County",451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,159900,162500,163450,157450,163495,164945,164675,160000,159950,165450,159900,157000
"Cedar Hills","Jacksonville","FL","Jacksonville","Duval County",452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85000,85000,82450,89500,93500,98700,1e+05,99900,100900,97500,95000,94900,93000,93750,100450,103853,104800,100750,103250,104600,109881,114950,114900,115000,119000,120000
"West Central","Spokane","WA","Spokane-Spokane Valley","Spokane County",453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109975,112890,117000,115000,110000,105000,99900,114584,116038,127687,128750,135000,137250,139900,135000,127500,139900,143900
"Resevoir","Bridgeport","CT","Bridgeport-Stamford-Norwalk","Fairfield County",454,154900,155900,149900,154900,140400,149900,148450,142500,141250,141250,130000,129900,129900,129900,139000,139500,139900,129900,127450,113400,127450,122400,125000,127000,129450,124900,124900,114950,114900,121000,123000,123950,125000,126750,125000,125000,115900,122000,127000,124900,129450,129900,129900,129900,124950,129900,129500,129700,125000,125000,117000,127450,129900,139900,143000,135000,129900,125400,119950,119000,119000,122500,129450,131000,134950,129000,123850,129000,134400,135000,139900,132000,135340,134450,129000,129000,137900,139900,145000,139000,139900,139900,139900,132500,139000,138683,122450,139900,139900,140450,146200,145694,158000,163000,165000,172500,174950,169900,162500,155000,149500,165000,169900,164950,169900,150000
"Isle of Normandy","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159950,165000,166500,168000,170000,167750,169000,169900,169900,169000,170000,169950,170000
"Family Acres","Lincoln","NE","Lincoln","Lancaster County",456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73400,73400,73400,70400,70400,71900,70400,70150,70150,70400,65400,65400,67400,66400,68400,68400,66400,68900,68900,70900,68900,68900,68900,68900,68900,70900,69900,66900,68900,68900,68900,68900,66900,66900,66900
"Lovejoy","Buffalo","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County",457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34950,40900,44900,44950,44900,44900,44900,44900,49700,49200,42500,46900,49950,49000,49900,49900,49900,49900,48950,48000,46900,48950,49900,49900,46950,49900,49950,54900,56900,55400,54500,52200,49900,52200,56950,59900,59900,59900,62900,65000,64900
